id,title,developer,releaseYear,isFavorite,categories,consoleId,deviceType,region,peripheralId,authenticity,condition,purchasePrice,purchaseCurrency,acquisitionDate,coverUrl,gameplayPhotoUrl,realDevicePhotoUrl,createdAt,updatedAt
22,AeroGauge,Locomotive Games,1997,false,"[""SPORTS"",""SIMULATOR""]",1,ROM_FLASHCART,USA,3,BOOTLEG,,,,,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Nintendo%2064/Named_Boxarts/AeroGauge%20%28USA%29.png,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Nintendo%2064/Named_Snaps/AeroGauge%20%28USA%29.png,https://m.media-amazon.com/images/I/81zzF7C3eGL._SX522_.jpg,2026-05-24 22:46:34,2026-05-24 22:46:34
23,007 - The World Is Not Enough,Eurocom,1999,false,"[""ACTION""]",1,ROM_FLASHCART,USA,3,BOOTLEG,,,,,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Nintendo%2064/Named_Boxarts/007%20-%20The%20World%20Is%20Not%20Enough%20%28USA%29.png,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Nintendo%2064/Named_Snaps/007%20-%20The%20World%20Is%20Not%20Enough%20%28USA%29.png,https://m.media-amazon.com/images/I/81zzF7C3eGL._SX522_.jpg,2026-05-24 22:46:34,2026-05-24 22:46:34
24,GoldenEye,Rare Ltd.,1997,false,"[""ACTION""]",1,ROM_FLASHCART,EUROPE,3,BOOTLEG,,,,,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Nintendo%2064/Named_Boxarts/007%20-%20GoldenEye%20%28Europe%29.png,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Nintendo%2064/Named_Snaps/007%20-%20GoldenEye%20%28Europe%29.png,https://m.media-amazon.com/images/I/81zzF7C3eGL._SX522_.jpg,2026-05-24 22:46:34,2026-05-24 22:46:34
25,Air Boarder 64,Human Entertainment,1998,false,"[""SPORTS""]",1,ROM_FLASHCART,JAPAN,3,BOOTLEG,,,,,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Nintendo%2064/Named_Boxarts/Air%20Boarder%2064%20%28Europe%29.png,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Nintendo%2064/Named_Snaps/Air%20Boarder%2064%20%28Europe%29.png,https://m.media-amazon.com/images/I/81zzF7C3eGL._SX522_.jpg,2026-05-24 22:46:34,2026-05-24 22:46:34
26,Aidyn Chronicles: The First Mage,Headgames,2001,false,"[""ADVENTURE_RPG""]",1,ROM_FLASHCART,USA,3,BOOTLEG,,,,,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Nintendo%2064/Named_Boxarts/Aidyn%20Chronicles%20-%20The%20First%20Mage%20%28Europe%29.png,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Nintendo%2064/Named_Snaps/Aidyn%20Chronicles%20-%20The%20First%20Mage%20%28Europe%29.png,https://m.media-amazon.com/images/I/81zzF7C3eGL._SX522_.jpg,2026-05-24 22:46:34,2026-05-24 22:46:34
27,All Star Tennis '99,Ubi Soft Entertainment,1999,false,"[""SPORTS""]",1,ROM_FLASHCART,EUROPE,3,BOOTLEG,,,,,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Nintendo%2064/Named_Boxarts/All%20Star%20Tennis%2099%20%28USA%29.png,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Nintendo%2064/Named_Snaps/All%20Star%20Tennis%2099%20%28USA%29.png,https://m.media-amazon.com/images/I/81zzF7C3eGL._SX522_.jpg,2026-05-24 22:46:34,2026-05-24 22:46:34
28,1080° Snowboarding,Nintendo EAD,1998,false,"[""SPORTS""]",1,ROM_FLASHCART,USA,3,BOOTLEG,,,,,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Nintendo%2064/Named_Boxarts/Snowboard%20Kids%20%28Europe%29.png,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Nintendo%2064/Named_Snaps/Snowboard%20Kids%20%28Europe%29.png,https://m.media-amazon.com/images/I/81zzF7C3eGL._SX522_.jpg,2026-05-24 22:46:34,2026-05-24 22:46:34
29,All-Star Baseball 2000,Iguana Entertainment,1999,false,"[""SPORTS""]",1,ROM_FLASHCART,USA,3,BOOTLEG,,,,,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Nintendo%2064/Named_Boxarts/All-Star%20Baseball%202000%20%28Europe%29.png,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Nintendo%2064/Named_Snaps/All-Star%20Baseball%202000%20%28Europe%29.png,https://m.media-amazon.com/images/I/81zzF7C3eGL._SX522_.jpg,2026-05-24 22:46:34,2026-05-24 22:46:34
30,A Bug's Life,Traveller's Tales,1998,false,"[""PLATFORMER"",""ADVENTURE_RPG""]",1,ROM_FLASHCART,USA,3,BOOTLEG,,,,,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Nintendo%2064/Named_Boxarts/Bug%27s%20Life%2C%20A%20%28Europe%29.png,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Nintendo%2064/Named_Snaps/Bug%27s%20Life%2C%20A%20%28Europe%29.png,https://m.media-amazon.com/images/I/81zzF7C3eGL._SX522_.jpg,2026-05-24 22:46:34,2026-05-24 22:46:34
31,All-Star Baseball 99,Iguana Entertainment,1998,false,"[""SPORTS""]",1,ROM_FLASHCART,USA,3,BOOTLEG,,,,,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Nintendo%2064/Named_Boxarts/All-Star%20Baseball%2099%20%28Europe%29.png,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Nintendo%2064/Named_Snaps/All-Star%20Baseball%2099%20%28Europe%29.png,https://m.media-amazon.com/images/I/81zzF7C3eGL._SX522_.jpg,2026-05-24 22:46:34,2026-05-24 22:46:34
